PIVOT;DIRECT;Evaluateur;ID_Phrase;Source_Classique;Reference_Moderne;Pred_W2M_Moderne;Reference_Anglais;Pred_Cascade_Anglais;Pred_Direct_Anglais
3;3;Personne B;78988;Time: QIN (221 – 206 BC). Text: 郑忽出奔卫。;郑国太子忽逃到卫国。;郑国的忽然出逃到卫国。;Hu, the crown prince of the state of Zheng, escaped to the state of Wei.;Zheng suddenly fled to Wei.;Zheng Hu fled to Wei.
1;1;Personne B;77001;Time: ANCIENT (Ancient Period). Text: 璟叹曰： 璟不能申魏公之枉，深负朝廷矣！;宋慨叹道： 宋不能辨明魏公所受的冤屈，深深辜负朝廷重托。;宋瞡叹息道： 宋不能申诉魏公的冤枉，深负朝廷了！;"Song sighed, ""I cannot help Wei to be rid of his injustice. I have shamed the court's trust.""";"Song Yao sighed and said: ""The Song Dynasty cannot plead for the Wei Gong's wrongful and bear the court!""";"Song Jing sighed and said: ""I can't report Wei Gong's wrongful crimes, but I am deeply deeply disappointed!"""
3;1;Personne B;54484;Time: ANCIENT (Ancient Period). Text: 东馆，典教之府；鹊堕东馆，又天意乎？;东馆，是主管教化的官署；喜鹊坠落束馆，又是天意吗?;东馆，是典教的府库；鹊堕落在东馆，又是天意吗？;"The Dongguan building was an official office in charge of nurturing; was not the magpie dropping onto the Dongguan building also a message from Heaven?";"The east guan is the treasury of the classics; the magpie fell into the east house, is the will of heaven?";The East Pavilion was the profession of the county magistrate, and the magpie fell into the east hall and the will of heaven.
1;1;Personne B;24304;Time: MING (1368 – 1644 AD). Text: 或地是故邦，改从今号；或人非旧类，同袭昔名。;或者土地是原来的故地，却改为今天的叫法；或者人已不是过去的族类，却仍袭用过去的名字。;有的是故国，改从今号；有的人不是旧时的名称，都是沿袭过去的名称。;"Either the land is the original old place, but it has been changed to today's name; or the people are no longer the past ethnic group, but they still use the past name.";"Some are the old country, which changes the title; some people are not the old names, but all of them are the former names.";Some people changed their territory and changed their names to be the names of the past.
1;1;Personne B;20102;Time: ANCIENT (Ancient Period). Text: 白圭之论自悖，其少魏王大甚。;白圭的评论自然是错的，他太轻视魏王了。;白圭的论述自大，其中少魏王大为严重。;Bo Jui's criticism is certainly wrong, and he underrated the King of Wei.;Bai Gui's argument was very great, and the little King of Wei was greatly serious.;Bai Gui's comments were violated, and he was greatly serious.
3;4;Personne B;70051;Time: ANCIENT (Ancient Period). Text: 及高祖崩，祔神主于庙，时侍中崔光兼太常卿，以太祖既改，昭穆以次而易。;等到高祖逝世，附神主牌位于祖庙，当时侍中崔光兼任太常卿，认为太祖既改，昭穆应依次而易。;到高祖逝世，在宗庙附祭神主，当时侍中崔光兼太常卿，因为太祖改正，昭穆依次而更换。;When the Emperor Gauzu passed away, he was added to the ancestral tablets and placed in the ancestral temple. At that time, the Chamberlain Cui Guang was the concurrent Minister of the Grand Ritual, and he believed that the order of the sacrifices should be changed because the ancestor had been changed.;When Gaozu passed away, he worshipped the gods in the ancestral temple. At that time, Cui Guang, the attendant, was also the Minister of Rites. Because Taizu changed the emperor, Zhaomu was replaced in turn.;When Emperor Gaozu died, the spirit tablet was offered to the ancestral temple. At that time, Cui Guang, the attendant, was concurrently assumed the position of Taichangqing. Since the founding emperor had changed the name of the emperor, Zhaomu had been changed in turn.
3;2;Personne B;2388;Time: HAN (c. 91 BC). Text: 盖朋来之学，诸经中《三礼》尤深，是以当世言礼学者，咸推宗之。;大概朋来的学问，在诸经中对《三礼》的研究最深，所以当时谈礼学的人，都推崇他。;因为朋来的学问，各经书中的《三礼》尤其深刻，所以当时人们都推崇他。;Peng Lai studied ritual and music the most among the various Sutra, therefore, those who studied ritual and music in that period all respected him.;Because his friends were particularly deeply in the Three Rites of Classics, the people at that time praised him.;The study of the classics and various classics was particularly deep, so those who were in etiquette and scholars were all recommended by the emperor.
1;1;Personne B;8521;Time: ANCIENT (Ancient Period). Text: 高祖答曰： 建义处不虑无，止畏如此老翁不可遇耳。;高祖回答说： 举义旗的人容易找，只是像你这样的人不可遇。;高祖回答说： 建义处在不考虑没有，只怕这个老翁不能遇到了。;Gaozu replied: It is easy to find someone to raise the flag of uprising, but it is impossible to find someone like you.;Gaozu replied: Jianyi is in the project of Jianyi, but I fear that this old man will not be able to meet the exact.;"Gaozu replied: ""Jianyi is nothing more than worrying about it, but I fear that the old man cannot be met."""
2;1;Personne B;51544;Time: ANCIENT (Ancient Period). Text: 以一伪丧百诚者，乃贪名不已故也！;因为一件事情作假而使得一百件诚实的事情也失去别人的信任，这都是贪求名声、不知满足的缘故啊！;以一个虚伪丧失了百般诚心的人，这是贪图名声不已啊！;A false act makes a hundred honest act lose the trust of others, which is all because of the insatiable pursuit of fame!;A person who lost a hundred sincere heart was a man of greed for false reputation!;The reason why the false and punishment was because the purpose of the purpose of the purpose of the people was greedy and the purpose of the people were not enough!
5;3;Personne B;28452;Time: SONG (960 – 1279 AD). Text: 世宗大骇，躬督战士，士皆奋命争先，而风势愈盛，旻自麾赤帜收军，军不可遏，旻遂败。;周世宗十分惊骇，亲自督战，士兵们都奋力争先，而风势更强，刘曼亲自挥动红旗收军，军队不可阻止，刘曼于是被打败。;周世宗非常害怕，亲自督促战士，士兵都奋然命令争先恐后，而且风气更盛，刘曼亲自指挥赤旗收军，军队不能阻挡，刘曼于是败退。;Zhou Shizong was greatly terrified and launched a personal attack. His soldiers fought hard and vied to be the first. The wind became even stronger. Liu Man personally waved a red flag to retreat troops. The army was unstoppable, so Liu Man was defeated.;Zhou Shizong was very frightened and personally supervised the soldiers, and the soldiers competed to be the first and the stronger was even more and more atmosphere. Liu Man personally commanded the Red Flag to gather the army, and the army could not be stopped. Liu Man was defeated.;Emperor Shizong was terrified, and he personally led the soldiers to fight back and fight for the first to fight. However, the wind blew and the remaining soldiers were brilliant. Liu Mang commanded the red flag to gather the army, but the army could not be stopped. The rebel army was defeated.
"Score moyen  de PIVOT";"Score moyen  de DIRECT";;;;;;;;
2,35;1,95;;;;;;;;
